You can edit rarities here. If you do, make sure to leave this line. Entries are in the form "Skill Index|Rarity Index|Rarity Label & Skill Name"; the rarity label is for your convenience only.
110|2|Blood is Power is Rare
111|1|Blood of the Master is Uncommon
112|2|Spiteful Spirit is Rare
113|0|Malign Intervention is Common
114|1|Insidious Parasite is Uncommon
115|1|Spinal Shivers is Uncommon
116|1|Wither is Uncommon
117|1|Life Transfer is Uncommon
118|1|Mark of Subversion is Uncommon
119|2|Soul Leech is Rare
120|1|Defile Flesh is Uncommon
121|1|Demonic Flesh is Uncommon
122|0|Barbed Signet is Common
123|1|Plague Signet is Uncommon
124|0|Dark Pact is Common
125|1|Order of Pain is Uncommon
126|0|Faintheartedness is Common
127|0|Shadow of Fear is Common
128|1|Rigor Mortis is Uncommon
129|1|Dark Bond is Uncommon
130|1|Infuse Condition is Uncommon
131|1|Malaise is Uncommon
132|1|Rend Enchantments is Uncommon
133|2|Lingering Curse is Rare
134|1|Strip Enchantment is Uncommon
135|2|Chilblains is Rare
136|1|Signet of Agony is Uncommon
137|2|Offering of Blood is Rare
138|1|Dark Fury is Uncommon
139|2|Order of the Vampire is Rare
140|1|Plague Sending is Uncommon
141|1|Mark of Pain is Uncommon
142|1|Feast of Corruption is Uncommon
143|1|Taste of Death is Uncommon
144|0|Vampiric Gaze is Common
145|0|Plague Touch is Common
146|0|Vile Touch is Common
147|0|Vampiric Touch is Common
148|1|Blood Ritual is Uncommon
149|0|Touch of Agony is Common
150|0|Weaken Armor is Common
151|0|Windborne Speed is Common
152|1|Gale is Uncommon
153|0|Whirlwind is Common
154|1|Elemental Attunement is Uncommon
155|0|Armor of Earth is Common
156|1|Kinetic Armor is Uncommon
157|0|Eruption is Common
158|0|Magnetic Aura is Common
159|0|Earth Attunement is Common
160|1|Earthquake is Uncommon
161|0|Stoning is Common
162|0|Stone Daggers is Common
163|1|Grasping Earth is Uncommon
164|1|Aftershock is Uncommon
165|1|Ward Against Elements is Uncommon
166|1|Ward Against Melee is Uncommon
167|0|Ward Against Foes is Common
168|2|Ether Prodigy is Rare
169|0|Incendiary Bonds is Common
170|1|Aura of Restoration is Uncommon
171|2|Ether Renewal is Rare
172|1|Conjure Flame is Uncommon
173|0|Inferno is Common
174|0|Fire Attunement is Common
175|2|Mind Burn is Rare
176|0|Fireball is Common
177|1|Meteor is Uncommon
178|1|Flame Burst is Uncommon
179|2|Rodgort's Invocation is Rare
180|1|Mark of Rodgort is Uncommon
181|0|Immolate is Common
182|1|Meteor Shower is Uncommon
183|0|Phoenix is Common
184|0|Flare is Common
185|0|Lava Font is Common
186|0|Searing Heat is Common
187|0|Fire Storm is Common
188|0|Glyph of Elemental Power is Common
189|1|Glyph of Energy is Uncommon
190|0|Glyph of Lesser Energy is Common
191|1|Glyph of Concentration is Uncommon
192|1|Glyph of Sacrifice is Uncommon
193|2|Glyph of Renewal is Rare
194|0|Rust is Common
195|2|Lightning Surge is Rare
196|0|Armor of Frost is Common
197|1|Conjure Frost is Uncommon
198|0|Water Attunement is Common
199|2|Mind Freeze is Rare
200|1|Ice Prison is Uncommon
201|0|Ice Spikes is Common
202|1|Frozen Burst is Uncommon
203|0|Shard Storm is Common
204|0|Ice Spear is Common
205|2|Maelstrom is Rare
206|1|Iron Mist is Uncommon
207|1|Crystal Wave is Uncommon
208|2|Obsidian Flesh is Rare
209|0|Obsidian Flame is Common
210|0|Blinding Flash is Common
211|1|Conjure Lightning is Uncommon
212|0|Lightning Strike is Common
213|1|Chain Lightning is Uncommon
214|0|Enervating Charge is Common
215|0|Air Attunement is Common
216|2|Mind Shock is Rare
217|1|Glimmering Mark is Uncommon
218|2|Thunderclap is Rare
219|0|Lightning Orb is Common
220|0|Lightning Javelin is Common
221|1|Shock is Uncommon
222|1|Lightning Touch is Uncommon
223|0|Swirling Aura is Common
224|1|Deep Freeze is Uncommon
225|1|Blurred Vision is Uncommon
226|2|Mist Form is Rare
227|1|Water Trident is Uncommon
228|0|Armor of Mist is Common
229|2|Ward Against Harm is Rare
230|0|Smite is Common
231|2|Life Bond is Rare
232|1|Balthazar's Spirit is Uncommon
233|1|Strength of Honor is Uncommon
234|1|Life Attunement is Uncommon
235|0|Protective Spirit is Common
236|0|Divine Intervention is Common
237|0|Symbol of Wrath is Common
238|0|Retribution is Common
239|1|Holy Wrath is Uncommon
240|1|Essence Bond is Uncommon
241|1|Scourge Healing is Uncommon
242|0|Banish is Common
243|1|Scourge Sacrifice is Uncommon
244|0|Vigorous Spirit is Common
245|0|Watchful Spirit is Common
246|1|Blessed Aura is Uncommon
247|1|Aegis is Uncommon
248|0|Guardian is Common
249|1|Shield of Deflection is Uncommon
250|1|Aura of Faith is Uncommon
251|1|Shield of Regeneration is Uncommon
252|1|Shield of Judgment is Uncommon
253|1|Protective Bond is Uncommon
254|1|Pacifism is Uncommon
255|1|Amity is Uncommon
256|2|Peace and Harmony is Rare
257|1|Judge's Insight is Uncommon
258|2|Unyielding Aura is Rare
259|1|Mark of Protection is Uncommon
260|1|Life Barrier is Uncommon
261|1|Zealot's Fire is Uncommon
262|1|Balthazar's Aura is Uncommon
263|2|Spell Breaker is Rare
264|0|Healing Seed is Common
265|0|Mend Condition is Common
266|1|Restore Condition is Uncommon
267|0|Mend Ailment is Common
268|1|Purge Conditions is Uncommon
269|0|Divine Healing is Common
270|1|Heal Area is Uncommon
271|0|Orison of Healing is Common
272|2|Word of Healing is Rare
273|0|Dwayna's Kiss is Common
274|1|Divine Boon is Uncommon
275|1|Healing Hands is Uncommon
276|0|Heal Other is Common
277|1|Heal Party is Uncommon
278|0|Healing Breeze is Common
279|1|Vital Blessing is Uncommon
280|1|Mending is Uncommon
281|1|Live Vicariously is Uncommon
282|1|Infuse Health is Uncommon
283|0|Signet of Devotion is Common
284|2|Signet of Judgment is Rare
285|1|Purge Signet is Uncommon
286|0|Bane Signet is Common
287|1|Blessed Signet is Uncommon
288|2|Martyr is Rare
289|0|Shielding Hands is Common
290|1|Contemplation of Purity is Uncommon
291|0|Remove Hex is Common
292|0|Smite Hex is Common
293|1|Convert Hexes is Uncommon
294|1|Light of Dwayna is Uncommon
295|0|Resurrect is Common
296|1|Rebirth is Uncommon
297|0|Reversal of Fortune is Common
298|1|Succor is Uncommon
299|1|Holy Veil is Uncommon
300|1|Divine Spirit is Uncommon
301|1|Draw Conditions is Uncommon
302|0|Holy Strike is Common
303|1|Healing Touch is Uncommon
304|0|Restore Life is Common
305|0|Vengeance is Common
306|0|"To the Limit!" is Common
307|2|Battle Rage is Rare
308|2|Defy Pain is Rare
309|0|Rush is Common
310|1|Hamstring is Uncommon
311|1|Wild Blow is Uncommon
312|0|Power Attack is Common
313|1|Desperation Blow is Uncommon
314|1|Thrill of Victory is Uncommon
315|0|Distracting Blow is Common
316|1|Protector's Strike is Uncommon
317|0|Griffon's Sweep is Common
318|0|Pure Strike is Common
319|2|Skull Crack is Rare
320|1|Cyclone Axe is Uncommon
321|0|Hammer Bash is Common
322|1|Bull's Strike is Uncommon
323|1|"I Will Avenge You!" is Uncommon
324|0|Axe Rake is Common
325|1|Cleave is Uncommon
326|0|Executioner's Strike is Common
327|0|Dismember is Common
328|2|Eviscerate is Rare
329|0|Penetrating Blow is Common
330|1|Disrupting Chop is Uncommon
331|0|Swift Chop is Common
332|0|Axe Twist is Common
333|1|"For Great Justice!" is Uncommon
334|0|Flurry is Common
335|0|Defensive Stance is Common
336|1|Frenzy is Uncommon
337|0|Endure Pain is Common
338|1|"Watch Yourself!" is Uncommon
339|0|Sprint is Common
340|1|Belly Smash is Uncommon
341|0|Mighty Blow is Common
342|1|Crushing Blow is Uncommon
343|1|Crude Swing is Uncommon
344|2|Earth Shaker is Rare
345|1|Devastating Hammer is Uncommon
346|0|Irresistible Blow is Common
347|0|Counter Blow is Common
348|2|Backbreaker is Rare
349|1|Heavy Blow is Uncommon
350|0|Staggering Blow is Common
351|1|Dolyak Signet is Uncommon
352|1|Warrior's Cunning is Uncommon
353|1|Shield Bash is Uncommon
354|1|"Charge!" is Uncommon
355|1|"Victory Is Mine!" is Uncommon
356|0|"Fear Me!" is Common
357|0|"Shields Up!" is Common
358|0|"I Will Survive!" is Common
359|0|Berserker Stance is Common
360|1|Balanced Stance is Uncommon
361|1|Gladiator's Defense is Uncommon
362|1|Deflect Arrows is Uncommon
363|2|Warrior's Endurance is Rare
364|2|Dwarven Battle Stance is Rare
365|0|Disciplined Stance is Common
366|1|Wary Stance is Uncommon
367|0|Shield Stance is Common
368|2|Bull's Charge is Rare
369|1|Bonetti's Defense is Uncommon
370|1|Hundred Blades is Uncommon
371|0|Sever Artery is Common
372|0|Galrath Slash is Common
373|0|Gash is Common
374|1|Final Thrust is Uncommon
375|0|Seeking Blade is Common
376|0|Riposte is Common
377|1|Deadly Riposte is Uncommon
378|2|Flourish is Rare
379|0|Savage Slash is Common
380|1|Hunter's Shot is Uncommon
381|0|Pin Down is Common
382|1|Crippling Shot is Uncommon
383|0|Power Shot is Common
384|2|Barrage is Rare
385|1|Dual Shot is Uncommon
386|1|Quick Shot is Uncommon
387|0|Penetrating Attack is Common
388|0|Distracting Shot is Common
389|1|Precision Shot is Uncommon
390|0|Determined Shot is Common
391|1|Called Shot is Uncommon
392|1|Poison Arrow is Uncommon
393|2|Oath Shot is Rare
394|1|Debilitating Shot is Uncommon
395|1|Point Blank Shot is Uncommon
396|1|Concussion Shot is Uncommon
397|2|Punishing Shot is Rare
398|1|Charm Animal is Uncommon
399|1|Call of Protection is Uncommon
400|1|Call of Haste is Uncommon
401|1|Revive Animal is Uncommon
402|1|Symbiotic Bond is Uncommon
403|1|Throw Dirt is Uncommon
404|0|Dodge is Common
405|0|Savage Shot is Common
406|1|Antidote Signet is Uncommon
407|2|Incendiary Arrows is Rare
408|1|Melandru's Arrows is Uncommon
409|2|Marksman's Wager is Rare
410|0|Ignite Arrows is Common
411|1|Read the Wind is Uncommon
412|0|Kindle Arrows is Common
413|1|Choking Gas is Uncommon
414|0|Apply Poison is Common
415|0|Comfort Animal is Common
416|1|Bestial Pounce is Uncommon
417|0|Maiming Strike is Common
418|0|Feral Lunge is Common
419|0|Scavenger Strike is Common
420|1|Melandru's Assault is Uncommon
421|2|Ferocious Strike is Rare
422|0|Predator's Pounce is Common
423|1|Brutal Strike is Uncommon
424|1|Disrupting Lunge is Uncommon
425|0|Troll Unguent is Common
426|1|Otyugh's Cry is Uncommon
427|2|Escape is Rare
428|2|Practiced Stance is Rare
429|1|Whirling Defense is Uncommon
430|1|Melandru's Resilience is Uncommon
431|0|Dryder's Defenses is Common
432|0|Lightning Reflexes is Common
433|0|Tiger's Fury is Common
434|0|Storm Chaser is Common
435|1|Serpent's Quickness is Uncommon
436|1|Dust Trap is Uncommon
437|0|Barbed Trap is Common
438|0|Flame Trap is Common
439|1|Healing Spring is Uncommon
440|1|Spike Trap is Uncommon
441|1|Winter is Uncommon
442|1|Winnowing is Uncommon
443|1|Edge of Extinction is Uncommon
444|1|Greater Conflagration is Uncommon
445|1|Conflagration is Uncommon
446|1|Fertile Season is Uncommon
447|1|Symbiosis is Uncommon
448|1|Primal Echoes is Uncommon
449|1|Predatory Season is Uncommon
450|1|Frozen Soil is Uncommon
451|1|Favorable Winds is Uncommon
452|1|Energizing Wind is Uncommon
453|1|Quickening Zephyr is Uncommon
454|1|Nature's Renewal is Uncommon
455|1|Muddy Terrain is Uncommon
456|2|Mark of Insecurity is Rare
457|0|Disrupting Dagger is Common
458|1|Deadly Paradox is Uncommon
459|1|Jaundiced Gaze is Uncommon
460|2|Wail of Doom is Rare
461|0|Gaze of Contempt is Common
462|0|Viper's Defense is Common
463|1|Return is Uncommon
464|2|Aura of Displacement is Rare
465|1|Generous Was Tsungrai is Uncommon
466|0|Mighty Was Vorizun is Common
467|2|Death Blossom is Rare
468|2|Twisting Fangs is Rare
469|1|Horns of the Ox is Uncommon
470|1|Falling Spider is Uncommon
471|1|Black Lotus Strike is Uncommon
472|0|Fox Fangs is Common
473|1|Moebius Strike is Uncommon
474|0|Jagged Strike is Common
475|0|Unsuspecting Strike is Common
476|0|Entangling Asp is Common
477|1|Mark of Death is Uncommon
478|0|Iron Palm is Common
479|0|Resilient Weapon is Common
480|1|Blind Was Mingson is Uncommon
481|2|Grasping Was Kuurong is Rare
482|2|Vengeful Was Khanhei is Rare
483|1|Flesh of My Flesh is Uncommon
484|2|Splinter Weapon is Rare
485|0|Weapon of Warding is Common
486|1|Wailing Weapon is Uncommon
487|0|Nightmare Weapon is Common
488|2|Beguiling Haze is Rare
489|0|Enduring Toxin is Common
490|1|Shroud of Silence is Uncommon
491|1|Expose Defenses is Uncommon
492|2|Power Leech is Rare
493|2|Arcane Languor is Rare
494|0|Animate Vampiric Horror is Common
495|2|Cultist's Fervor is Rare
496|1|Reaper's Mark is Uncommon
497|2|Shatterstone is Rare
498|1|Protector's Defense is Uncommon
499|1|Run as One is Uncommon
500|2|Defiant Was Xinrae is Rare
501|2|Lyssa's Aura is Rare
502|0|Shadow Refuge is Common
503|1|Scorpion Wire is Uncommon
504|1|Mirrored Stance is Uncommon
505|2|Discord is Rare
506|1|Well of Weariness is Uncommon
507|1|Vampiric Spirit is Uncommon
508|1|Depravity is Uncommon
509|2|Icy Veins is Rare
510|1|Weaken Knees is Uncommon
511|1|Burning Speed is Uncommon
512|0|Lava Arrows is Common
513|0|Bed of Coals is Common
514|2|Shadow Form is Rare
515|1|Siphon Strength is Uncommon
516|0|Vile Miasma is Common
517|2|Ray of Judgment is Rare
518|1|Primal Rage is Uncommon
519|2|Animate Flesh Golem is Rare
520|1|Reckless Haste is Uncommon
521|0|Blood Bond is Common
522|2|Ride the Lightning is Rare
523|1|Energy Boon is Uncommon
524|1|Dwayna's Sorrow is Uncommon
525|1|"Retreat!" is Uncommon
526|0|Poisoned Heart is Common
527|0|Fetid Ground is Common
528|0|Arc Lightning is Common
529|2|Gust is Rare
530|1|Churning Earth is Uncommon
531|1|Liquid Flame is Uncommon
532|0|Steam is Common
533|1|Boon Signet is Uncommon
534|1|Reverse Hex is Uncommon
535|0|Lacerating Chop is Common
536|1|Fierce Blow is Uncommon
537|1|Sun and Moon Slash is Uncommon
538|0|Splinter Shot is Common
539|1|Melandru's Shot is Uncommon
540|0|Snare is Common
541|0|Dancing Daggers is Common
542|1|Conjure Nightmare is Uncommon
543|0|Signet of Disruption is Common
544|2|Ravenous Gaze is Rare
545|1|Order of Apostasy is Uncommon
546|1|Oppressive Gaze is Uncommon
547|1|Lightning Hammer is Uncommon
548|0|Vapor Blade is Common
549|1|Healing Light is Uncommon
550|1|"Coward!" is Uncommon
551|1|Pestilence is Uncommon
552|1|Shadowsong is Uncommon
553|1|Signet of Shadows is Uncommon
554|0|Lyssa's Balance is Common
555|2|Visions of Regret is Rare
556|1|Illusion of Pain is Uncommon
557|1|Stolen Speed is Uncommon
558|0|Ether Signet is Common
559|1|Signet of Disenchantment is Uncommon
560|1|Vocal Minority is Uncommon
561|2|Searing Flames is Rare
562|0|Shield Guardian is Common
563|0|Restful Breeze is Common
564|0|Signet of Rejuvenation is Common
565|1|Whirling Axe is Uncommon
566|2|Forceful Blow is Rare
567|0|"None Shall Pass!" is Common
568|2|Quivering Blade is Rare
569|1|Seeking Arrows is Uncommon
570|0|Overload is Common
571|0|Images of Remorse is Common
572|2|Shared Burden is Rare
573|2|Soul Bind is Rare
574|0|Blood of the Aggressor is Common
575|1|Icy Prism is Uncommon
576|1|Furious Axe is Uncommon
577|0|Auspicious Blow is Common
578|1|"On Your Knees!" is Uncommon
579|2|Dragon Slash is Rare
580|1|Marauder's Shot is Uncommon
581|1|Focused Shot is Uncommon
582|0|Spirit Rift is Common
583|1|Union is Uncommon
584|1|Tranquil Was Tanasen is Uncommon
585|1|Consume Soul is Uncommon
586|1|Spirit Light is Uncommon
587|1|Lamentation is Uncommon
588|1|Rupture Soul is Uncommon
589|1|Spirit to Flesh is Uncommon
590|0|Spirit Burn is Common
591|0|Destruction is Common
592|1|Dissonance is Uncommon
593|1|Disenchantment is Uncommon
594|1|Recall is Uncommon
595|1|Sharpen Daggers is Uncommon
596|1|Shameful Fear is Uncommon
597|2|Shadow Shroud is Rare
598|0|Shadow of Haste is Common
599|1|Auspicious Incantation is Uncommon
600|0|Power Return is Common
601|1|Complicate is Uncommon
602|1|Shatter Storm is Uncommon
603|1|Unnatural Signet is Uncommon
604|1|Rising Bile is Uncommon
605|1|Envenom Enchantments is Uncommon
606|2|Shockwave is Rare
607|1|Ward of Stability is Uncommon
608|1|Icy Shackles is Uncommon
609|2|Blessed Light is Rare
610|2|Withdraw Hexes is Rare
611|1|Extinguish is Uncommon
612|0|Signet of Strength is Common
613|1|Trapper's Focus is Uncommon
614|1|Brambles is Uncommon
615|0|Desperate Strike is Common
616|1|Way of the Fox is Uncommon
617|0|Shadowy Burden is Common
618|0|Siphon Speed is Common
619|1|Death's Charge is Uncommon
620|1|Power Flux is Uncommon
621|1|Expel Hexes is Uncommon
622|0|Rip Enchantment is Common
623|1|Spell Shield is Uncommon
624|0|Healing Whisper is Common
625|1|Ethereal Light is Uncommon
626|1|Release Enchantments is Uncommon
627|1|Lacerate is Uncommon
628|0|Spirit Transfer is Common
629|1|Restoration is Uncommon
630|0|Vengeful Weapon is Common
631|0|Blinding Powder is Common
632|1|Mantis Touch is Uncommon
633|1|Exhausting Assault is Uncommon
634|1|Repeating Strike is Uncommon
635|1|Way of the Lotus is Uncommon
636|1|Mark of Instability is Uncommon
637|2|Mistrust is Rare
638|1|Feast of Souls is Uncommon
639|1|Recuperation is Uncommon
640|1|Shelter is Uncommon
641|1|Weapon of Shadow is Uncommon
642|0|Caltrops is Common
643|1|Nine Tail Strike is Uncommon
644|2|Way of the Empty Palm is Rare
645|1|Temple Strike is Uncommon
646|1|Golden Phoenix Strike is Uncommon
647|1|Expunge Enchantments is Uncommon
648|0|Deny Hexes is Common
649|2|Triple Chop is Rare
650|2|Enraged Smash is Rare
651|1|Renewing Smash is Uncommon
652|0|Tiger Stance is Common
653|0|Standing Slash is Common
654|1|Famine is Uncommon
655|0|Critical Eye is Common
656|1|Critical Strike is Uncommon
657|1|Blades of Steel is Uncommon
658|1|Jungle Strike is Uncommon
659|1|Wild Strike is Uncommon
660|0|Leaping Mantis Sting is Common
661|0|Black Mantis Thrust is Common
662|1|Disrupting Stab is Uncommon
663|0|Golden Lotus Strike is Common
664|1|Critical Defenses is Uncommon
665|0|Way of Perfection is Common
666|2|Dark Apostasy is Rare
667|2|Locust's Fury is Rare
668|1|Shroud of Distress is Uncommon
669|0|Heart of Shadow is Common
670|1|Impale is Uncommon
671|2|Seeping Wound is Rare
672|2|Assassin's Promise is Rare
673|1|Signet of Malice is Uncommon
674|1|Dark Escape is Uncommon
675|0|Crippling Dagger is Common
676|0|Spirit Walk is Common
677|1|Unseen Fury is Uncommon
678|2|Flashing Blades is Rare
679|0|Dash is Common
680|1|Dark Prison is Uncommon
681|1|Palm Strike is Uncommon
682|0|Revealed Enchantment is Common
683|0|Revealed Hex is Common
684|1|Accumulated Pain is Uncommon
685|2|Psychic Distraction is Rare
686|1|Ancestor's Visage is Uncommon
687|1|Recurring Insecurity is Uncommon
688|1|Kitah's Burden is Uncommon
689|2|Psychic Instability is Rare
690|1|Hex Eater Signet is Uncommon
691|0|Feedback is Common
692|1|Arcane Larceny is Uncommon
693|2|Spoil Victor is Rare
694|0|Lifebane Strike is Common
695|0|Bitter Chill is Common
696|0|Taste of Pain is Common
697|0|Defile Enchantments is Common
698|1|Shivers of Dread is Uncommon
699|1|Vampiric Swarm is Uncommon
700|0|Blood Drinker is Common
701|0|Vampiric Bite is Common
702|0|Wallow's Bite is Common
703|1|Enfeebling Touch is Uncommon
704|0|Teinai's Wind is Common
705|0|Shock Arrow is Common
706|1|Unsteady Ground is Uncommon
707|1|Sliver Armor is Uncommon
708|0|Ash Blast is Common
709|1|Dragon's Stomp is Uncommon
710|1|Second Wind is Uncommon
711|0|Smoldering Embers is Common
712|2|Double Dragon is Rare
713|1|Teinai's Heat is Uncommon
714|1|Breath of Fire is Uncommon
715|2|Star Burst is Rare
716|1|Glyph of Essence is Uncommon
717|0|Teinai's Prison is Common
718|2|Mirror of Ice is Rare
719|1|Teinai's Crystals is Uncommon
720|1|Kirin's Wrath is Uncommon
721|1|Spirit Bond is Uncommon
722|1|Air of Enchantment is Uncommon
723|1|Heaven's Delight is Uncommon
724|2|Healing Burst is Rare
725|1|Karei's Healing Circle is Uncommon
726|0|Jamei's Gaze is Common
727|1|Gift of Health is Uncommon
728|2|Life Sheath is Rare
729|1|Empathic Removal is Uncommon
730|1|Resurrection Chant is Uncommon
731|1|Word of Censure is Uncommon
732|0|Spear of Light is Common
733|0|Stonesoul Strike is Common
734|1|Drunken Blow is Uncommon
735|0|Leviathan's Sweep is Common
736|0|Jaizhenju Strike is Common
737|0|Penetrating Chop is Common
738|1|Yeti Smash is Uncommon
739|1|"You Will Die!" is Uncommon
740|1|Auspicious Parry is Uncommon
741|0|Silverwing Slash is Common
742|2|Shove is Rare
743|0|Sundering Attack is Common
744|1|Zojun's Shot is Uncommon
745|0|Predatory Bond is Common
746|1|Heal as One is Uncommon
747|0|Zojun's Haste is Common
748|0|Needling Shot is Common
749|2|Broad Head Arrow is Rare
750|2|Glass Arrows is Rare
751|1|Archer's Signet is Uncommon
752|1|Savage Pounce is Uncommon
753|2|Enraged Lunge is Rare
754|1|Bestial Mauling is Uncommon
755|0|Poisonous Bite is Common
756|0|Pounce is Common
757|1|Bestial Fury is Uncommon
758|0|Viper's Nest is Common
759|1|Equinox is Uncommon
760|1|Tranquility is Uncommon
761|1|Clamor of Souls is Uncommon
762|2|Ritual Lord is Rare
763|1|Cruel Was Daoshen is Uncommon
764|1|Protective Was Kaolai is Uncommon
765|2|Attuned Was Songkai is Rare
766|0|Resilient Was Xiko is Common
767|1|Lively Was Naomei is Uncommon
768|1|Anguished Was Lingwah is Uncommon
769|1|Draw Spirit is Uncommon
770|0|Channeled Strike is Common
771|0|Spirit Boon Strike is Common
772|0|Essence Strike is Common
773|1|Spirit Siphon is Uncommon
774|1|Explosive Growth is Uncommon
775|1|Boon of Creation is Uncommon
776|2|Spirit Channeling is Rare
777|1|Armor of Unfeeling is Uncommon
778|0|Soothing Memories is Common
779|1|Mend Body and Soul is Uncommon
780|1|Dulled Weapon is Uncommon
781|0|Binding Chains is Common
782|1|Painful Bond is Uncommon
783|1|Signet of Creation is Uncommon
784|2|Signet of Spirits is Rare
785|2|Soul Twisting is Rare
786|1|Ghostly Haste is Uncommon
787|0|Gaze from Beyond is Common
788|1|Ancestors' Rage is Uncommon
789|0|Pain is Common
790|1|Displacement is Uncommon
791|1|Preservation is Uncommon
792|0|Life is Common
793|1|Earthbind is Uncommon
794|1|Bloodsong is Uncommon
795|1|Wanderlust is Uncommon
796|1|Spirit Light Weapon is Uncommon
797|0|Brutal Weapon is Common
798|1|Guided Weapon is Uncommon
799|1|Meekness is Uncommon
800|1|Frigid Armor is Uncommon
801|1|Healing Ring is Uncommon
802|1|Renew Life is Uncommon
803|1|Doom is Uncommon
804|0|Wielder's Boon is Common
805|1|Soothing is Uncommon
806|1|Vital Weapon is Uncommon
807|2|Weapon of Quickening is Rare
808|1|Signet of Rage is Uncommon
809|2|Extend Conditions is Rare
810|1|Hypochondria is Uncommon
811|0|Wastrel's Demise is Common
812|1|Spiritual Pain is Uncommon
813|1|Drain Delusions is Uncommon
814|1|Persistence of Memory is Uncommon
815|1|Symbols of Inspiration is Uncommon
816|1|Symbolic Celerity is Uncommon
817|1|Frustration is Uncommon
818|1|Tease is Uncommon
819|1|Ether Phantom is Uncommon
820|1|Web of Disruption is Uncommon
821|2|Enchanter's Conundrum is Rare
822|2|Signet of Illusions is Rare
823|0|Discharge Enchantment is Common
824|2|Hex Eater Vortex is Rare
825|1|Mirror of Disenchantment is Uncommon
826|1|Simple Thievery is Uncommon
827|1|Animate Shambling Horror is Uncommon
828|2|Order of Undeath is Rare
